timestamp,year,month,day,hour,weekday,power_kW,energy_kWh
2023-01-01 00:00:00,2023,1,1,0,6,1.1698357076505617,1.1698357076505617
2023-01-01 01:00:00,2023,1,1,1,6,1.1840437582980536,1.1840437582980536
2023-01-01 02:00:00,2023,1,1,2,6,1.3476869559223446,1.3476869559223446
2023-01-01 03:00:00,2023,1,1,3,6,1.5580323019383355,1.5580323019383355
2023-01-01 04:00:00,2023,1,1,4,6,1.6305232944506025,1.6305232944506025
2023-01-01 05:00:00,2023,1,1,5,6,1.7379891729067458,1.7379891729067458
2023-01-01 06:00:00,2023,1,1,6,6,1.8519699534206144,1.8519699534206144
2023-01-01 07:00:00,2023,1,1,7,6,1.7437738373691378,1.7437738373691378
2023-01-01 08:00:00,2023,1,1,8,6,1.54310574819938,1.54310574819938
2023-01-01 09:00:00,2023,1,1,9,6,1.424115678288018,1.424115678288018
2023-01-01 10:00:00,2023,1,1,10,6,1.222869871005387,1.222869871005387
2023-01-01 11:00:00,2023,1,1,11,6,1.1344469159668644,1.1344469159668644
2023-01-01 12:00:00,2023,1,1,12,6,1.1699271853291275,1.1699271853291275
2023-01-01 13:00:00,2023,1,1,13,6,1.1506902421410858,1.1506902421410858
2023-01-01 14:00:00,2023,1,1,14,6,1.3113397401610123,1.3113397401610123
2023-01-01 15:00:00,2023,1,1,15,6,1.5394209319885628,1.5394209319885628
2023-01-01 16:00:00,2023,1,1,16,6,1.656114459045686,1.656114459045686
2023-01-01 17:00:00,2023,1,1,17,6,1.7904509519553105,1.7904509519553105
2023-01-01 18:00:00,2023,1,1,18,6,1.7063084150061112,1.7063084150061112
2023-01-01 19:00:00,2023,1,1,19,6,1.5737782595722043,1.5737782595722043
2023-01-01 20:00:00,2023,1,1,20,6,1.5573417913763694,1.5573417913763694
2023-01-01 21:00:00,2023,1,1,21,6,1.306132365067901,1.306132365067901
2023-01-01 22:00:00,2023,1,1,22,6,1.1964141851549017,1.1964141851549017
2023-01-01 23:00:00,2023,1,1,23,6,1.075936090689327,1.075936090689327
2023-01-02 00:00:00,2023,1,2,0,0,1.0749408637737408,1.0749408637737408
2023-01-02 01:00:00,2023,1,2,1,0,1.1515794935681367,1.1515794935681367
2023-01-02 02:00:00,2023,1,2,2,0,1.2071919590801088,1.2071919590801088
2023-01-02 03:00:00,2023,1,2,3,0,1.4425529012815101,1.4425529012815101
2023-01-02 04:00:00,2023,1,2,4,0,1.546816573609096,1.546816573609096
2023-01-02 05:00:00,2023,1,2,5,0,1.6648566767942816,1.6648566767942816
2023-01-02 06:00:00,2023,1,2,6,0,1.6716120705508617,1.6716120705508617
2023-01-02 07:00:00,2023,1,2,7,0,1.729768707937128,1.729768707937128
2023-01-02 08:00:00,2023,1,2,8,0,1.5039505068420833,1.5039505068420833
2023-01-02 09:00:00,2023,1,2,9,0,1.2898362281834925,1.2898362281834925
2023-01-02 10:00:00,2023,1,2,10,0,1.2397450984334804,1.2397450984334804
2023-01-02 11:00:00,2023,1,2,11,0,1.053271568145394,1.053271568145394
2023-01-02 12:00:00,2023,1,2,12,0,1.1248480428755623,1.1248480428755623
2023-01-02 13:00:00,2023,1,2,13,0,1.1009329168514421,1.1009329168514421
2023-01-02 14:00:00,2023,1,2,14,0,1.2768819537844083,1.2768819537844083
2023-01-02 15:00:00,2023,1,2,15,0,1.515378754590992,1.515378754590992
2023-01-02 16:00:00,2023,1,2,16,0,1.6753675697599417,1.6753675697599417
2023-01-02 17:00:00,2023,1,2,17,0,1.7119127415840227,1.7119127415840227
2023-01-02 18:00:00,2023,1,2,18,0,1.675576662572121,1.675576662572121
2023-01-02 19:00:00,2023,1,2,19,0,1.563852829470524,1.563852829470524
2023-01-02 20:00:00,2023,1,2,20,0,1.3519167044766718,1.3519167044766718
2023-01-02 21:00:00,2023,1,2,21,0,1.2307671904599817,1.2307671904599817
2023-01-02 22:00:00,2023,1,2,22,0,1.12498314130979,1.12498314130979
2023-01-02 23:00:00,2023,1,2,23,0,1.1570861113109456,1.1570861113109456
2023-01-03 00:00:00,2023,1,3,0,1,1.121500914478423,1.121500914478423
2023-01-03 01:00:00,2023,1,3,1,1,1.0601461743432332,1.0601461743432332
2023-01-03 02:00:00,2023,1,3,2,1,1.283494589593797,1.283494589593797
2023-01-03 03:00:00,2023,1,3,3,1,1.4074430208810336,1.4074430208810336
2023-01-03 04:00:00,2023,1,3,4,1,1.5462976179216612,1.5462976179216612
2023-01-03 05:00:00,2023,1,3,5,1,1.713565570863073,1.713565570863073
2023-01-03 06:00:00,2023,1,3,6,1,1.7568406711682756,1.7568406711682756
2023-01-03 07:00:00,2023,1,3,7,1,1.687157316796798,1.687157316796798
2023-01-03 08:00:00,2023,1,3,8,1,1.4657856052386113,1.4657856052386113
2023-01-03 09:00:00,2023,1,3,9,1,1.3299946675093288,1.3299946675093288
2023-01-03 10:00:00,2023,1,3,10,1,1.2175695861353817,1.2175695861353817
2023-01-03 11:00:00,2023,1,3,11,1,1.1652777065531725,1.1652777065531725
2023-01-03 12:00:00,2023,1,3,12,1,1.0926328507861698,1.0926328507861698
2023-01-03 13:00:00,2023,1,3,13,1,1.1920220359491225,1.1920220359491225
2023-01-03 14:00:00,2023,1,3,14,1,1.2907080191996303,1.2907080191996303
2023-01-03 15:00:00,2023,1,3,15,1,1.4488464749142655,1.4488464749142655
2023-01-03 16:00:00,2023,1,3,16,1,1.682509044009188,1.682509044009188
2023-01-03 17:00:00,2023,1,3,17,1,1.7747496228342112,1.7747496228342112
2023-01-03 18:00:00,2023,1,3,18,1,1.6812989627496,1.6812989627496
2023-01-03 19:00:00,2023,1,3,19,1,1.6323798689765123,1.6323798689765123
2023-01-03 20:00:00,2023,1,3,20,1,1.4468537397850474,1.4468537397850474
2023-01-03 21:00:00,2023,1,3,21,1,1.2370521663222944,1.2370521663222944
2023-01-03 22:00:00,2023,1,3,22,1,1.1683496781619263,1.1683496781619263
2023-01-03 23:00:00,2023,1,3,23,1,1.1832918283232985,1.1832918283232985
2023-01-04 00:00:00,2023,1,4,0,2,1.1046886980445023,1.1046886980445023
2023-01-04 01:00:00,2023,1,4,1,2,1.228795182930797,1.228795182930797
2023-01-04 02:00:00,2023,1,4,2,2,1.138851889092404,1.138851889092404
2023-01-04 03:00:00,2023,1,4,3,2,1.4707213946582331,1.4707213946582331
2023-01-04 04:00:00,2023,1,4,4,2,1.5877912811807904,1.5877912811807904
2023-01-04 05:00:00,2023,1,4,5,2,1.67157178103482,1.67157178103482
2023-01-04 06:00:00,2023,1,4,6,2,1.7134720277513993,1.7134720277513993
2023-01-04 07:00:00,2023,1,4,7,2,1.5446533772402506,1.5446533772402506
2023-01-04 08:00:00,2023,1,4,8,2,1.4998840003286305,1.4998840003286305
2023-01-04 09:00:00,2023,1,4,9,2,1.3660444265480791,1.3660444265480791
2023-01-04 10:00:00,2023,1,4,10,2,1.2772896785391616,1.2772896785391616
2023-01-04 11:00:00,2023,1,4,11,2,1.0927736388364817,1.0927736388364817
2023-01-04 12:00:00,2023,1,4,12,2,1.0783535820868844,1.0783535820868844
2023-01-04 13:00:00,2023,1,4,13,2,1.1786056943399692,1.1786056943399692
2023-01-04 14:00:00,2023,1,4,14,2,1.3945283854556374,1.3945283854556374
2023-01-04 15:00:00,2023,1,4,15,2,1.5282154749220462,1.5282154749220462
2023-01-04 16:00:00,2023,1,4,16,2,1.6188332548304334,1.6188332548304334
2023-01-04 17:00:00,2023,1,4,17,2,1.736194286942484,1.736194286942484
2023-01-04 18:00:00,2023,1,4,18,2,1.6932937384331028,1.6932937384331028
2023-01-04 19:00:00,2023,1,4,19,2,1.6339306834404785,1.6339306834404785
2023-01-04 20:00:00,2023,1,4,20,2,1.3965984183764208,1.3965984183764208
2023-01-04 21:00:00,2023,1,4,21,2,1.2554737998954961,1.2554737998954961
2023-01-04 22:00:00,2023,1,4,22,2,1.1329393082586245,1.1329393082586245
2023-01-04 23:00:00,2023,1,4,23,2,1.035374252593394,1.035374252593394
2023-01-05 00:00:00,2023,1,5,0,3,1.123446013853229,1.123446013853229
2023-01-05 01:00:00,2023,1,5,1,3,1.1658805817778177,1.1658805817778177
2023-01-05 02:00:00,2023,1,5,2,3,1.2726435703018477,1.2726435703018477
2023-01-05 03:00:00,2023,1,5,3,3,1.4208260473083372,1.4208260473083372
2023-01-05 04:00:00,2023,1,5,4,3,1.5159656004982838,1.5159656004982838
2023-01-05 05:00:00,2023,1,5,5,3,1.6690302745569294,1.6690302745569294
2023-01-05 06:00:00,2023,1,5,6,3,1.695341556979432,1.695341556979432
2023-01-05 07:00:00,2023,1,5,7,3,1.6073564716385214,1.6073564716385214
2023-01-05 08:00:00,2023,1,5,8,3,1.5059244224579689,1.5059244224579689
2023-01-05 09:00:00,2023,1,5,9,3,1.3711248524838207,1.3711248524838207
2023-01-05 10:00:00,2023,1,5,10,3,1.300092833099495,1.300092833099495
2023-01-05 11:00:00,2023,1,5,11,3,1.1296027399448656,1.1296027399448656
